ID,Rating,Review,word_count
1,1,wash very bad cloth wash time not increase and decrease,10
2,1,very bad quality,3
3,1,bad product sendcharging time is very low,7
4,1,very bad stb and tubicast app not connected,8
5,1,very bad product,3
6,1,very small size,3
7,1,very bad quality,3
8,1,material not good,3
9,1,wifi not working,3
10,1,worst mobile getting hanged everyday not user friendly,8
11,1,very bad product,3
12,1,verry verry baad products,4
13,1,in image is good but provided shorter size,8
14,1,product is good but received damaged,6
15,1,worst pillow ever bad quality and packing,7
16,1,money waste product,3
17,1,very bad do not buy,5
18,1,ok ok qualityno grip when you walkingwest of money ý,10
19,1,very dirty and loss,4
20,1,lose of money,3
21,1,not detecting files in tv,5
22,1,phone is value for maney but camera is bad condition,10
23,1,worked only for 1 year,5
24,1,i received a defected product,5
25,1,not so bad ok ok type,6
26,1,not good quality flipkart service not good,7
27,1,worst product dont buy just waste of money,8
28,1,cloth quality is not good zippe had brakon after using,10
29,1,worst phone damn damn heavy and camera quality is worst,10
30,1,dont waste your money,4
31,1,product just lasted 1 month with very minimal use,9
32,1,worst product dont go for it,6
33,1,very poor quality dont buy this,6
34,1,dead set no function,4
35,1,very bad quality,3
36,1,dont buy this product,4
37,1,worst quality ever,3
38,1,some features are not functioning properly like find phonesp02,9
39,1,i dont like not upto gud,6
40,1,not worth of money,4
41,1,very bad quality dont purchase,5
42,1,very bad product,3
43,1,please dont buy,3
44,1,size not fit,3
45,1,not suitable for samsung,4
46,1,not good very small height shelf,6
47,1,wrost quality product,3
48,1,leakage within 4daysnot repairable,4
49,1,so light weight not good,5
50,1,bad sir wifi doenot work,5
51,1,dont purchase this product waste of money,7
52,1,very worst product,3
53,1,very poor product,3
54,1,i am not satisfied,4
55,1,low quilitty scratch prodect,4
56,1,very bad product only last for 6 months,8
57,1,dont go for this quality is not good,8
58,1,shoes are not good wrost product,6
59,1,dont buy online heavy price electronicsthis model is too old,10
60,1,very disappointed with this product ink cartridge was empty,9
61,1,very bad product dont buy it,6
62,1,waste of money dont buy,5
63,1,quality v bad,3
64,1,very very bad product ð,5
65,1,its not running,3
66,1,low quality metal steel,4
67,1,get a bad quality bamboo tree,6
68,1,very bad quality,3
69,1,madar chud company its too bad device,7
70,1,its too smalll,3
71,1,very bad product wastage of money,6
72,1,very small in size,4
73,1,horrible dont buy this product,5
74,1,very poor in quality,4
75,1,very bad because calling function is not support,8
76,1,smaller than expected,3
77,1,worst product heating of kettle is very poor,8
78,1,grind not well,3
79,1,bad prdouct stik is very dificult to use dont buy,10
80,1,waste of money high price and low productnever buy,9
81,1,3rd class quality,3
82,1,wast for money ð,4
83,1,the clothes are a little light,6
84,1,one leg is small irritated sometime when studying on it,10
85,1,very poor quality,3
86,1,not proper sizei am not satisfied,6
87,1,waist of money,3
88,1,very bad poor quality,4
89,1,very bad quality plz do not purchase this product,9
90,1,very bad product,3
91,1,worst and cheap one,4
92,1,dont buyit breaks with in few days,7
93,1,dont buy this one worst product,6
94,1,jar not available,3
95,1,small size for double bed,5
96,1,i hate this product waste of money,7
97,1,not bad but not so soft quality not so good,10
98,1,this is very thin,4
99,1,worst than worst,3
100,1,very bad product i have recieve,6
101,1,very bad quality products,4
102,1,quality is so bad,4
103,1,poor quality dont buy no return policy,7
104,1,size is very small,4
105,1,no proper holes to assemble,5
106,1,finishing of the product is not satisfactory,7
107,1,very bad quality,3
108,1,bad product l am purchased,5
109,1,it not detects wifi,4
110,1,its too small unexpected,4
111,1,best moneybad quality and missing items,6
112,1,not good product,3
113,1,dont buy this item realy bad item,7
114,1,nice ek number power bank,5
115,1,very small in size,4
116,1,waste product within two days colour has been gone,9
117,1,its note a shock proof,5
118,1,very bad quality,3
119,1,tactically problem with this router unable to setup this router,10
120,1,very bad false storage automatic delete files,7
121,1,screen mirroring connectivity problem dont buy this tv,8
122,1,very bad quality,3
123,1,not good found some air leak,6
124,1,when i received any call them automatically call end,9
125,1,waste of money,3
126,1,worst one dint purchase,4
127,1,so for good so for bad,6
128,1,it is broken while opening,5
129,1,smoke came after 2 months of usage,7
130,1,worst experience with flipkart,4
131,1,faulty product received,3
132,1,very tight fittings not at all comfortable,7
133,1,best best best best best bestbest best best,8
134,1,very poor brake not worth for money,7
135,1,dont buy poor quality,4
136,1,this product very bad ððð,5
137,1,very worst product,3
138,1,worst of money,3
139,1,worst of money,3
140,1,it is very very very small cant use,8
141,1,it was okay okay not good,6
142,1,uncomfortable wrost product,3
143,1,so bad quality not a good product,7
144,1,very poor quality,3
145,1,not good enough,3
146,1,products not good,3
147,1,local chaap product labour quality,5
148,1,quality is very poor,4
149,1,this is only a waste not fertilizer,7
150,1,worst performance evernot durable dont buy at alll,8
151,1,products not working,3
152,1,bad qlty prodect,3
153,1,please dont buy not working,5
154,1,waste material cloth are not good,6
155,1,cartridge is bad,3
156,1,wast of maney,3
157,1,nor good as described,4
158,1,dont buy this phone it has bad camera quality,9
159,1,not best quality,3
160,1,dont buy this producti m not satisfied with the product,10
161,1,product quality is very bad,5
162,1,very bad quality just sand,5
163,1,dont purchase major side effects hai iske,7
164,1,very very bad product mi power bank,7
165,1,poor quality product,3
166,1,wont be recommending to anyone cheap quality worst shelve,9
167,1,very bad product,3
168,1,usb charger cable very small ð,6
169,1,quality is very low,4
170,1,very bad waste of money,5
171,1,dont buy it wasted of money,6
172,1,dont buy this productwaste of money,6
173,1,not good material,3
174,1,bat quality is worst,4
175,1,to hard not comfortable to use,6
176,1,vest money dont buy,4
177,1,bahut havy hh tutne ka chance v h,8
178,1,do not buy the balloon explodes too quickly,8
179,1,very bad productwaste of mony,5
180,1,quality not good,3
181,1,waste of money very worst product,6
182,1,it was so small ððððð,5
183,1,the inner tub is very small,6
184,1,the sound is very low,5
185,1,dont buy dont work properly,5
186,1,very bad product charge not charge watch dont buy,9
187,1,worst product ever i suggest it not to buy,9
188,1,bed sheet defective,3
189,1,waste of money,3
190,1,worst experience quality is very bad dont buy,8
191,1,doesnt get connected to many wifi connections,7
192,1,very bad experience,3
193,1,poor quality products,3
194,1,noise level is high,4
195,1,worst experience this product is overpriced,6
196,1,waste of money it working only 20days money waste,9
197,1,wastage of moneyð,3
198,1,very bad not able to grinde properly,7
199,1,not properly quality,3
200,1,its not cotton waste of money,6
201,2,quality was not good,4
202,2,no batry backup sound not gud,6
203,2,quality is not good very thin material,7
204,2,very thin2nd day of purchase punctured and fuss,8
205,2,waste of money,3
206,2,too much noise but working fine,6
207,2,cloth qwality is poor,4
208,2,not proper gain,3
209,2,2 hrs more than heating storage,6
210,2,too much heat and emitting plastic smell,7
211,2,chrome cast and connectivity is very slow,7
212,2,very bad products waste money and time,7
213,2,not valueable for price,4
214,2,showing big images but give a small size product,9
215,2,damaged after one wash poor material quality,7
216,2,nice product ð and balt quality is badð,8
217,2,quality very bad issue,4
218,2,kettle is leaking from the first day,7
219,2,waste for money,3
220,2,it looks cheap better go for higher variant,8
221,2,not that great as expected,5
222,2,size not fitted and quality is very low,8
223,2,waste for money,3
224,2,bad product delivery,3
225,2,hardly does the job,4
226,2,ok but not good,4
227,2,quality not good,3
228,2,not that great,3
229,2,water is leaking and also water taste is not good,10
230,2,its waste not showing wifi network l will exchange,9
231,2,i got damaged product,4
232,2,very bad after 15 days plate is broken itself,9
233,2,products looks and feels cheap,5
234,2,very thin not useful,4
235,2,smell and smoke comming not working,6
236,2,quality is not so good,5
237,2,low quality didnt appreciate it,5
238,2,not long lastingjust a years use ð,7
239,2,i dont like,3
240,2,product is not as expected,5
241,2,its not cotton hard microfiber polyester type,7
242,2,very small plant one plant died,6
243,2,quality is very thin,4
244,2,not good quality,3
245,2,the light is not spreading much,6
246,2,size is too small,4
247,2,dents were found on the sides of the fridge,9
248,2,no best quality in bedsheet,5
249,2,not same as given pictures vry thin clothes,8
250,2,manufacturer provide only one button,5
251,2,material not goodmoney waste,4
252,2,thay give only one battery 175w only,7
253,2,not like the previous quality it is flowing like ðwater,10
254,2,borders of big plates are broken into small pieces,9
255,2,colour fade away after first wash,6
256,2,not enough strenthy,3
257,2,its not a good,4
258,2,fabric quality is not matching as mentioned in description,9
259,2,camera is not good,4
260,2,not happening effective clean iron disappointed,6
261,2,quality not upto the mark look for something else,9
262,2,not as expected,3
263,2,cap lickej problem,3
264,2,remote controlling is hard,4
265,2,not worth of money,4
266,2,very bad quality,3
267,2,quality of products is very low i am not satisfied,10
268,2,the cloth is very transparent,5
269,2,very very small,3
270,2,quality not upto the mark look for something else,9
271,2,not a good product,4
