ReviewID,ProductID,UserID,Rating,ReviewText,ReviewDate,Review #,Brand,Variety,Style,Country,Stars,Top Ten
REV2000,Product_E,User_114,4.0,fantastic. wonderful experience.,2023-04-17,,,,,,,
REV2001,Product_C,User_186,2.0,broke easily. awful.,2023-11-27,,,,,,,
REV2002,Product_E,User_101,3.0,met expectations. five stars.,2023-12-10,,,,,,,
REV2003,Product_A,User_175,5.0,very satisfied. wonderful experience.,2023-11-10,,,,,,,
REV2004,Product_C,User_158,1.0,worst purchase. one star.,2024-05-25,,,,,,,
REV2005,Product_D,User_154,3.0,some pros and cons. works perfectly.,2023-09-01,,,,,,,
REV2006,Product_A,User_138,5.0,highly recommend. amazing features.,2023-10-01,,,,,,,
REV2007,Product_B,User_108,2.0,waste of money. poor quality.,2023-12-12,,,,,,,
REV2008,Product_D,User_107,4.0,love this product. highly recommend. nothing special.,2023-02-04,,,,,,,
REV2009,Product_B,User_103,2.0,poor quality. worst purchase.,2024-04-21,,,,,,,
REV2010,Product_D,User_113,2.0,awful. customer service was bad. some pros and cons.,2023-09-28,,,,,,,
REV2011,Product_E,User_181,5.0,fantastic. best purchase ever.,2023-02-22,,,,,,,
REV2012,Product_D,User_140,4.0,wonderful experience. love this product. some pros and cons.,2023-06-06,,,,,,,
REV2013,Product_D,User_107,1.0,broke easily. does not work.,2024-04-16,,,,,,,
REV2014,Product_C,User_132,3.0,decent for the price. worst purchase.,2024-01-14,,,,,,,
REV2015,Product_D,User_106,1.0,awful. one star.,2023-07-20,,,,,,,
REV2016,Product_C,User_143,5.0,exceeded expectations. works perfectly.,2024-12-26,,,,,,,
REV2017,Product_C,User_100,5.0,best purchase ever. easy to use.,2023-01-05,,,,,,,
REV2018,Product_A,User_178,3.0,works as expected. easy to use.,2023-01-15,,,,,,,
REV2019,Product_D,User_195,1.0,difficult to use. difficult to use.,2024-04-29,,,,,,,
REV2020,Product_E,User_135,3.0,neither good nor bad. very satisfied.,2024-06-08,,,,,,,
REV2021,Product_B,User_141,4.0,amazing features. great value.,2024-07-10,,,,,,,
REV2022,Product_D,User_143,4.0,exceeded expectations. best purchase ever. some pros and cons.,2023-12-06,,,,,,,
REV2023,Product_A,User_126,1.0,would not recommend. bad experience.,2024-09-24,,,,,,,
REV2024,Product_A,User_161,3.0,it's okay. five stars.,2024-11-07,,,,,,,
REV2025,Product_A,User_151,3.0,it's okay. five stars.,2023-04-23,,,,,,,
REV2026,Product_C,User_155,2.0,broke easily. terrible product.,2023-03-22,,,,,,,
REV2027,Product_E,User_195,4.0,love this product. works perfectly.,2023-08-13,,,,,,,
REV2028,Product_D,User_189,5.0,very satisfied. easy to use.,2024-11-02,,,,,,,
REV2029,Product_C,User_116,3.0,could be better. excellent quality.,2023-10-21,,,,,,,
REV2030,Product_A,User_172,3.0,met expectations. does not work.,2023-05-04,,,,,,,
REV2031,Product_D,User_158,4.0,best purchase ever. works perfectly.,2024-02-07,,,,,,,
REV2032,Product_D,User_132,4.0,easy to use. excellent quality.,2024-10-01,,,,,,,
REV2033,Product_D,User_156,3.0,average product. customer service was bad.,2024-04-17,,,,,,,
REV2034,Product_C,User_106,2.0,worst purchase. missing features.,2023-05-24,,,,,,,
REV2035,Product_B,User_100,1.0,customer service was bad. one star.,2023-10-31,,,,,,,
REV2036,Product_A,User_198,3.0,works as expected. very disappointed.,2024-10-20,,,,,,,
REV2037,Product_D,User_174,1.0,awful. would not recommend.,2024-09-16,,,,,,,
REV2038,Product_C,User_188,4.0,amazing features. wonderful experience. average product.,2023-04-09,,,,,,,
REV2039,Product_C,User_179,2.0,would not recommend. terrible product. decent for the price.,2024-11-11,,,,,,,
REV2040,Product_C,User_116,4.0,love this product. five stars.,2024-10-01,,,,,,,
REV2041,Product_C,User_153,5.0,exceeded expectations. excellent quality.,2023-10-10,,,,,,,
REV2042,Product_D,User_163,1.0,waste of money. one star.,2024-04-25,,,,,,,
REV2043,Product_D,User_134,3.0,it's okay. five stars.,2023-07-11,,,,,,,
REV2044,Product_E,User_145,4.0,very satisfied. works perfectly.,2024-01-08,,,,,,,
REV2045,Product_E,User_145,5.0,works perfectly. five stars.,2023-06-30,,,,,,,
REV2046,Product_E,User_131,5.0,works perfectly. excellent quality.,2023-06-10,,,,,,,
REV2047,Product_C,User_145,2.0,very disappointed. difficult to use. average product.,2024-09-17,,,,,,,
REV2048,Product_A,User_132,2.0,broke easily. very disappointed.,2024-01-28,,,,,,,
REV2049,Product_B,User_125,5.0,wonderful experience. five stars.,2024-02-12,,,,,,,
REV2050,Product_D,User_144,1.0,terrible product. awful.,2023-01-20,,,,,,,
REV2051,Product_C,User_186,4.0,five stars. excellent quality. neither good nor bad.,2023-05-23,,,,,,,
REV2052,Product_A,User_157,3.0,met expectations. very disappointed.,2024-07-28,,,,,,,
REV2053,Product_D,User_141,1.0,broke easily. one star.,2023-02-23,,,,,,,
REV2054,Product_D,User_104,5.0,highly recommend. very satisfied. nothing special.,2023-04-13,,,,,,,
REV2055,Product_D,User_115,3.0,average product. customer service was bad.,2023-09-26,,,,,,,
REV2056,Product_A,User_162,3.0,neither good nor bad. best purchase ever.,2024-08-26,,,,,,,
REV2057,Product_A,User_111,5.0,best purchase ever. best purchase ever. average product.,2024-10-02,,,,,,,
REV2058,Product_E,User_100,1.0,bad experience. difficult to use.,2023-09-29,,,,,,,
REV2059,Product_E,User_166,5.0,best purchase ever. works perfectly.,2023-03-17,,,,,,,
REV2060,Product_E,User_177,1.0,waste of money. terrible product.,2023-08-08,,,,,,,
REV2061,Product_E,User_175,4.0,best purchase ever. great value.,2023-08-06,,,,,,,
REV2062,Product_E,User_122,1.0,very disappointed. waste of money.,2024-06-05,,,,,,,
REV2063,Product_B,User_118,4.0,love this product. fantastic.,2024-03-17,,,,,,,
REV2064,Product_B,User_191,4.0,exceeded expectations. highly recommend.,2023-06-09,,,,,,,
REV2065,Product_C,User_132,2.0,broke easily. waste of money.,2024-11-21,,,,,,,
REV2066,Product_A,User_139,1.0,one star. bad experience. average product.,2023-02-12,,,,,,,
REV2067,Product_C,User_134,5.0,love this product. best purchase ever.,2024-12-27,,,,,,,
REV2068,Product_B,User_189,2.0,does not work. missing features.,2024-02-22,,,,,,,
REV2069,Product_E,User_174,2.0,awful. would not recommend.,2024-02-17,,,,,,,
REV2070,Product_A,User_135,5.0,great value. amazing features.,2024-01-29,,,,,,,
REV2071,Product_A,User_198,3.0,average product. fantastic.,2024-07-01,,,,,,,
REV2072,Product_D,User_154,5.0,easy to use. amazing features. it's okay.,2024-06-08,,,,,,,
REV2073,Product_D,User_188,1.0,bad experience. broke easily. nothing special.,2023-12-08,,,,,,,
REV2074,Product_E,User_118,4.0,amazing features. easy to use.,2023-03-17,,,,,,,
REV2075,Product_C,User_115,4.0,works perfectly. five stars.,2023-03-10,,,,,,,
REV2076,Product_E,User_199,3.0,neither good nor bad. difficult to use.,2024-07-18,,,,,,,
REV2077,Product_E,User_141,5.0,easy to use. best purchase ever.,2023-07-05,,,,,,,
REV2078,Product_C,User_174,5.0,five stars. amazing features.,2024-10-19,,,,,,,
REV2079,Product_A,User_106,4.0,wonderful experience. fantastic. average product.,2023-06-23,,,,,,,
REV2080,Product_B,User_165,3.0,decent for the price. fantastic.,2024-05-31,,,,,,,
REV2081,Product_A,User_185,5.0,love this product. easy to use.,2024-05-14,,,,,,,
REV2082,Product_D,User_169,4.0,works perfectly. wonderful experience.,2023-09-09,,,,,,,
REV2083,Product_B,User_189,3.0,neither good nor bad. wonderful experience.,2024-06-14,,,,,,,
REV2084,Product_B,User_191,5.0,best purchase ever. highly recommend. some pros and cons.,2024-09-29,,,,,,,
REV2085,Product_C,User_176,1.0,customer service was bad. missing features.,2023-12-14,,,,,,,
REV2086,Product_A,User_155,1.0,very disappointed. worst purchase. decent for the price.,2023-04-27,,,,,,,
REV2087,Product_C,User_135,5.0,works perfectly. highly recommend. some pros and cons.,2023-08-15,,,,,,,
REV2088,Product_A,User_153,1.0,difficult to use. missing features.,2023-09-16,,,,,,,
REV2089,Product_D,User_123,2.0,waste of money. awful. nothing special.,2024-10-29,,,,,,,
REV2090,Product_B,User_159,2.0,one star. one star.,2023-06-27,,,,,,,
REV2091,Product_C,User_162,4.0,amazing features. love this product.,2023-05-25,,,,,,,
REV2092,Product_D,User_128,5.0,works perfectly. wonderful experience.,2024-07-11,,,,,,,
REV2093,Product_E,User_146,3.0,could be better. broke easily.,2024-03-25,,,,,,,
REV2094,Product_E,User_132,5.0,love this product. excellent quality.,2024-01-09,,,,,,,
REV2095,Product_C,User_184,1.0,missing features. very disappointed.,2023-10-09,,,,,,,
REV2096,Product_E,User_132,1.0,missing features. does not work. decent for the price.,2024-09-01,,,,,,,
REV2097,Product_A,User_168,4.0,very satisfied. works perfectly.,2024-10-06,,,,,,,
REV2098,Product_E,User_136,5.0,best purchase ever. works perfectly. some pros and cons.,2024-12-14,,,,,,,
REV2099,Product_C,User_144,1.0,would not recommend. customer service was bad.,2024-12-17,,,,,,,
REV2100,Product_D,User_194,2.0,difficult to use. worst purchase.,2023-03-13,,,,,,,
REV2101,Product_C,User_149,3.0,it's okay. waste of money.,2023-09-25,,,,,,,
REV2102,Product_A,User_116,3.0,neither good nor bad. waste of money.,2024-09-15,,,,,,,
REV2103,Product_C,User_150,2.0,very disappointed. one star.,2023-04-13,,,,,,,
REV2104,Product_B,User_181,2.0,broke easily. does not work.,2023-12-01,,,,,,,
REV2105,Product_A,User_137,4.0,fantastic. five stars. works as expected.,2024-04-25,,,,,,,
REV2106,Product_E,User_128,1.0,awful. terrible product.,2023-05-18,,,,,,,
REV2107,Product_D,User_187,4.0,excellent quality. very satisfied.,2023-03-10,,,,,,,
REV2108,Product_C,User_142,5.0,amazing features. easy to use. met expectations.,2023-04-21,,,,,,,
REV2109,Product_D,User_155,4.0,works perfectly. works perfectly.,2023-10-08,,,,,,,
REV2110,Product_E,User_150,2.0,waste of money. waste of money.,2024-02-07,,,,,,,
REV2111,Product_E,User_121,2.0,very disappointed. terrible product.,2024-02-09,,,,,,,
REV2112,Product_B,User_145,4.0,love this product. best purchase ever.,2024-06-29,,,,,,,
REV2113,Product_B,User_146,1.0,very disappointed. awful.,2023-05-01,,,,,,,
REV2114,Product_A,User_125,5.0,fantastic. love this product.,2023-09-14,,,,,,,
REV2115,Product_B,User_127,4.0,fantastic. excellent quality.,2023-03-19,,,,,,,
REV2116,Product_C,User_106,3.0,neither good nor bad. one star.,2023-01-03,,,,,,,
REV2117,Product_B,User_137,5.0,amazing features. easy to use.,2023-01-15,,,,,,,
REV2118,Product_A,User_116,2.0,very disappointed. worst purchase.,2023-08-19,,,,,,,
REV2119,Product_A,User_112,1.0,missing features. would not recommend.,2023-07-31,,,,,,,
REV2120,Product_E,User_117,1.0,would not recommend. very disappointed.,2023-04-21,,,,,,,
REV2121,Product_D,User_182,1.0,missing features. waste of money.,2024-07-07,,,,,,,
REV2122,Product_B,User_158,2.0,bad experience. very disappointed.,2023-11-11,,,,,,,
REV2123,Product_E,User_121,1.0,very disappointed. very disappointed. nothing special.,2023-10-04,,,,,,,
REV2124,Product_A,User_102,3.0,could be better. awful.,2023-08-31,,,,,,,
REV2125,Product_D,User_191,2.0,would not recommend. very disappointed.,2023-03-16,,,,,,,
REV2126,Product_A,User_165,3.0,could be better. wonderful experience.,2024-12-15,,,,,,,
REV2127,Product_E,User_169,4.0,very satisfied. highly recommend.,2024-02-14,,,,,,,
REV2128,Product_D,User_111,1.0,terrible product. worst purchase.,2024-07-12,,,,,,,
REV2129,Product_C,User_199,5.0,love this product. very satisfied.,2023-09-16,,,,,,,
REV2130,Product_E,User_122,2.0,one star. poor quality.,2024-10-11,,,,,,,
REV2131,Product_D,User_164,2.0,waste of money. missing features.,2023-11-15,,,,,,,
REV2132,Product_C,User_193,3.0,it's okay. one star.,2023-04-05,,,,,,,
REV2133,Product_B,User_177,4.0,exceeded expectations. amazing features. works as expected.,2024-01-11,,,,,,,
REV2134,Product_A,User_139,3.0,met expectations. wonderful experience.,2023-11-16,,,,,,,
REV2135,Product_A,User_113,3.0,decent for the price. works perfectly.,2023-10-18,,,,,,,
REV2136,Product_B,User_161,3.0,some pros and cons. missing features.,2023-05-12,,,,,,,
REV2137,Product_C,User_137,2.0,terrible product. missing features.,2023-01-23,,,,,,,
REV2138,Product_E,User_150,2.0,does not work. very disappointed.,2023-02-08,,,,,,,
REV2139,Product_B,User_163,3.0,it's okay. difficult to use.,2024-05-14,,,,,,,
REV2140,Product_D,User_128,3.0,some pros and cons. great value.,2024-07-03,,,,,,,
REV2141,Product_A,User_167,3.0,average product. broke easily.,2024-08-20,,,,,,,
REV2142,Product_A,User_137,2.0,would not recommend. bad experience. could be better.,2023-06-08,,,,,,,
REV2143,Product_E,User_128,5.0,highly recommend. five stars.,2023-02-16,,,,,,,
REV2144,Product_C,User_135,3.0,decent for the price. customer service was bad.,2023-10-19,,,,,,,
REV2145,Product_B,User_145,2.0,one star. worst purchase.,2023-12-29,,,,,,,
REV2146,Product_A,User_196,2.0,awful. one star.,2024-09-14,,,,,,,
REV2147,Product_D,User_167,4.0,fantastic. great value.,2023-05-13,,,,,,,
REV2148,Product_A,User_191,2.0,missing features. very disappointed. could be better.,2024-01-13,,,,,,,
REV2149,Product_C,User_122,1.0,waste of money. worst purchase.,2024-09-04,,,,,,,
REV2150,Product_A,User_162,1.0,does not work. awful.,2024-07-20,,,,,,,
REV2151,Product_E,User_108,1.0,would not recommend. missing features. some pros and cons.,2023-07-21,,,,,,,
REV2152,Product_D,User_124,3.0,met expectations. excellent quality.,2024-08-24,,,,,,,
REV2153,Product_B,User_190,3.0,works as expected. amazing features.,2024-06-12,,,,,,,
REV2154,Product_E,User_187,4.0,love this product. wonderful experience.,2023-06-10,,,,,,,
REV2155,Product_D,User_184,2.0,difficult to use. terrible product.,2023-02-18,,,,,,,
REV2156,Product_D,User_185,1.0,bad experience. awful.,2024-04-20,,,,,,,
REV2157,Product_E,User_193,1.0,does not work. broke easily.,2023-08-03,,,,,,,
REV2158,Product_A,User_144,5.0,fantastic. works perfectly. works as expected.,2024-04-21,,,,,,,
REV2159,Product_B,User_191,2.0,poor quality. customer service was bad.,2023-04-23,,,,,,,
REV2160,Product_A,User_107,4.0,easy to use. works perfectly.,2023-02-24,,,,,,,
REV2161,Product_C,User_133,2.0,terrible product. difficult to use.,2024-01-15,,,,,,,
REV2162,Product_E,User_107,2.0,difficult to use. does not work. could be better.,2023-11-09,,,,,,,
REV2163,Product_E,User_166,1.0,terrible product. one star. average product.,2023-02-20,,,,,,,
REV2164,Product_C,User_115,3.0,nothing special. waste of money.,2024-03-27,,,,,,,
REV2165,Product_B,User_106,2.0,difficult to use. waste of money. works as expected.,2024-11-03,,,,,,,
REV2166,Product_E,User_159,4.0,excellent quality. love this product.,2023-03-23,,,,,,,
REV2167,Product_C,User_101,4.0,easy to use. easy to use. decent for the price.,2024-12-07,,,,,,,
REV2168,Product_A,User_197,5.0,five stars. works perfectly.,2023-02-22,,,,,,,
REV2169,Product_A,User_173,4.0,fantastic. exceeded expectations.,2023-06-07,,,,,,,
REV2170,Product_B,User_180,1.0,missing features. awful.,2024-06-09,,,,,,,
REV2171,Product_A,User_121,1.0,customer service was bad. would not recommend. average product.,2023-08-23,,,,,,,
REV2172,Product_C,User_169,5.0,great value. best purchase ever.,2023-05-26,,,,,,,
REV2173,Product_A,User_136,2.0,very disappointed. worst purchase.,2023-06-02,,,,,,,
REV2174,Product_B,User_185,5.0,amazing features. very satisfied.,2023-01-27,,,,,,,
REV2175,Product_D,User_152,2.0,worst purchase. bad experience.,2024-03-30,,,,,,,
REV2176,Product_D,User_161,5.0,excellent quality. five stars.,2024-09-25,,,,,,,
REV2177,Product_C,User_152,1.0,does not work. worst purchase. could be better.,2023-10-19,,,,,,,
REV2178,Product_D,User_158,3.0,met expectations. fantastic.,2023-08-15,,,,,,,
REV2179,Product_A,User_135,5.0,works perfectly. works perfectly.,2023-05-28,,,,,,,
REV2180,Product_C,User_197,1.0,worst purchase. poor quality. some pros and cons.,2023-07-20,,,,,,,
