ID,Rating,Review,
1,4,fantastic. wonderful experience.,
2,2,broke easily. awful.,
3,3,met expectations. five stars.,
4,5,very satisfied. wonderful experience.,
5,1,worst purchase. one star.,
6,3,some pros and cons. works perfectly.,
7,5,highly recommend. amazing features.,
8,2,waste of money. poor quality.,
9,4,love this product. highly recommend. nothing special.,
10,2,poor quality. worst purchase.,
11,2,awful. customer service was bad. some pros and cons.,
12,5,fantastic. best purchase ever.,
13,4,wonderful experience. love this product. some pros and cons.,
14,1,broke easily. does not work.,
15,3,decent for the price. worst purchase.,
16,1,awful. one star.,
17,5,exceeded expectations. works perfectly.,
18,5,best purchase ever. easy to use.,
19,3,works as expected. easy to use.,
20,1,difficult to use. difficult to use.,
21,3,neither good nor bad. very satisfied.,
22,4,amazing features. great value.,
23,4,exceeded expectations. best purchase ever. some pros and cons.,
24,1,would not recommend. bad experience.,
25,3,it's okay. five stars.,
26,3,it's okay. five stars.,
27,2,broke easily. terrible product.,
28,4,love this product. works perfectly.,
29,5,very satisfied. easy to use.,
30,3,could be better. excellent quality.,
31,3,met expectations. does not work.,
32,4,best purchase ever. works perfectly.,
33,4,easy to use. excellent quality.,
34,3,average product. customer service was bad.,
35,2,worst purchase. missing features.,
36,1,customer service was bad. one star.,
37,3,works as expected. very disappointed.,
38,1,awful. would not recommend.,
39,4,amazing features. wonderful experience. average product.,
40,2,would not recommend. terrible product. decent for the price.,
41,4,love this product. five stars.,
42,5,exceeded expectations. excellent quality.,
43,1,waste of money. one star.,
44,3,it's okay. five stars.,
45,4,very satisfied. works perfectly.,
46,5,works perfectly. five stars.,
47,5,works perfectly. excellent quality.,
48,2,very disappointed. difficult to use. average product.,
49,2,broke easily. very disappointed.,
50,5,wonderful experience. five stars.,
51,1,terrible product. awful.,
52,4,five stars. excellent quality. neither good nor bad.,
53,3,met expectations. very disappointed.,
54,1,broke easily. one star.,
55,5,highly recommend. very satisfied. nothing special.,
56,3,average product. customer service was bad.,
57,3,neither good nor bad. best purchase ever.,
58,5,best purchase ever. best purchase ever. average product.,
59,1,bad experience. difficult to use.,
60,5,best purchase ever. works perfectly.,
61,1,waste of money. terrible product.,
62,4,best purchase ever. great value.,
63,1,very disappointed. waste of money.,
64,4,love this product. fantastic.,
65,4,exceeded expectations. highly recommend.,
66,2,broke easily. waste of money.,
67,1,one star. bad experience. average product.,
68,5,love this product. best purchase ever.,
69,2,does not work. missing features.,
70,2,awful. would not recommend.,
71,5,great value. amazing features.,
72,3,average product. fantastic.,
73,5,easy to use. amazing features. it's okay.,
74,1,bad experience. broke easily. nothing special.,
75,4,amazing features. easy to use.,
76,4,works perfectly. five stars.,
77,3,neither good nor bad. difficult to use.,
78,5,easy to use. best purchase ever.,
79,5,five stars. amazing features.,
80,4,wonderful experience. fantastic. average product.,
81,3,decent for the price. fantastic.,
82,5,love this product. easy to use.,
83,4,works perfectly. wonderful experience.,
84,3,neither good nor bad. wonderful experience.,
85,5,best purchase ever. highly recommend. some pros and cons.,
86,1,customer service was bad. missing features.,
87,1,very disappointed. worst purchase. decent for the price.,
88,5,works perfectly. highly recommend. some pros and cons.,
89,1,difficult to use. missing features.,
90,2,waste of money. awful. nothing special.,
91,2,one star. one star.,
92,4,amazing features. love this product.,
93,5,works perfectly. wonderful experience.,
94,3,could be better. broke easily.,
95,5,love this product. excellent quality.,
96,1,missing features. very disappointed.,
97,1,missing features. does not work. decent for the price.,
98,4,very satisfied. works perfectly.,
99,5,best purchase ever. works perfectly. some pros and cons.,
100,1,would not recommend. customer service was bad.,
101,2,difficult to use. worst purchase.,
102,3,it's okay. waste of money.,
103,3,neither good nor bad. waste of money.,
104,2,very disappointed. one star.,
105,2,broke easily. does not work.,
106,4,fantastic. five stars. works as expected.,
107,1,awful. terrible product.,
108,4,excellent quality. very satisfied.,
109,5,amazing features. easy to use. met expectations.,
110,4,works perfectly. works perfectly.,
111,2,waste of money. waste of money.,
112,2,very disappointed. terrible product.,
113,4,love this product. best purchase ever.,
114,1,very disappointed. awful.,
115,5,fantastic. love this product.,
116,4,fantastic. excellent quality.,
117,3,neither good nor bad. one star.,
118,5,amazing features. easy to use.,
119,2,very disappointed. worst purchase.,
120,1,missing features. would not recommend.,
121,1,would not recommend. very disappointed.,
122,1,missing features. waste of money.,
123,2,bad experience. very disappointed.,
124,1,very disappointed. very disappointed. nothing special.,
125,3,could be better. awful.,
126,2,would not recommend. very disappointed.,
127,3,could be better. wonderful experience.,
128,4,very satisfied. highly recommend.,
129,1,terrible product. worst purchase.,
130,5,love this product. very satisfied.,
131,2,one star. poor quality.,
132,2,waste of money. missing features.,
133,3,it's okay. one star.,
134,4,exceeded expectations. amazing features. works as expected.,
135,3,met expectations. wonderful experience.,
136,3,decent for the price. works perfectly.,
137,3,some pros and cons. missing features.,
138,2,terrible product. missing features.,
139,2,does not work. very disappointed.,
140,3,it's okay. difficult to use.,
141,3,some pros and cons. great value.,
142,3,average product. broke easily.,
143,2,would not recommend. bad experience. could be better.,
144,5,highly recommend. five stars.,
145,3,decent for the price. customer service was bad.,
146,2,one star. worst purchase.,
147,2,awful. one star.,
148,4,fantastic. great value.,
149,2,missing features. very disappointed. could be better.,
150,1,waste of money. worst purchase.,
151,1,does not work. awful.,
152,1,would not recommend. missing features. some pros and cons.,
153,3,met expectations. excellent quality.,
154,3,works as expected. amazing features.,
155,4,love this product. wonderful experience.,
156,2,difficult to use. terrible product.,
157,1,bad experience. awful.,
158,1,does not work. broke easily.,
159,5,fantastic. works perfectly. works as expected.,
160,2,poor quality. customer service was bad.,
161,4,easy to use. works perfectly.,
162,2,terrible product. difficult to use.,
163,2,difficult to use. does not work. could be better.,
164,1,terrible product. one star. average product.,
165,3,nothing special. waste of money.,
166,2,difficult to use. waste of money. works as expected.,
167,4,excellent quality. love this product.,
168,4,easy to use. easy to use. decent for the price.,
169,5,five stars. works perfectly.,
170,4,fantastic. exceeded expectations.,
171,1,missing features. awful.,
172,1,customer service was bad. would not recommend. average product.,
173,5,great value. best purchase ever.,
174,2,very disappointed. worst purchase.,
175,5,amazing features. very satisfied.,
176,2,worst purchase. bad experience.,
177,5,excellent quality. five stars.,
178,1,does not work. worst purchase. could be better.,
179,3,met expectations. fantastic.,
180,5,works perfectly. works perfectly.,
181,1,worst purchase. poor quality. some pros and cons.,
182,1,broke easily. awful.,
183,3,met expectations. does not work.,
184,5,best purchase ever. amazing features.,
185,4,love this product. easy to use.,
186,1,broke easily. worst purchase. neither good nor bad.,
187,1,worst purchase. difficult to use. decent for the price.,
188,1,broke easily. difficult to use.,
189,4,best purchase ever. easy to use. could be better.,
190,3,works as expected. awful.,
191,2,awful. terrible product.,
192,1,bad experience. worst purchase.,
193,2,customer service was bad. broke easily.,
194,5,works perfectly. exceeded expectations.,
195,4,great value. five stars.,
196,4,highly recommend. great value.,
197,1,awful. customer service was bad.,
198,2,terrible product. waste of money.,
199,1,broke easily. worst purchase.,
200,5,fantastic. exceeded expectations.,
201,2,would not recommend. broke easily.,
202,5,excellent quality. amazing features. it's okay.,
203,2,waste of money. very disappointed.,
204,1,worst purchase. terrible product. works as expected.,
205,2,awful. does not work.,
206,5,highly recommend. great value. some pros and cons.,
207,3,some pros and cons. excellent quality.,
208,4,fantastic. amazing features.,
209,3,met expectations. great value.,
210,2,one star. bad experience.,
211,5,wonderful experience. works perfectly.,
212,2,very disappointed. awful.,
213,4,amazing features. wonderful experience.,
214,1,broke easily. very disappointed. decent for the price.,
215,3,neither good nor bad. exceeded expectations.,
216,5,wonderful experience. wonderful experience. average product.,
217,5,excellent quality. five stars. works as expected.,
218,3,decent for the price. highly recommend.,
219,4,love this product. five stars. met expectations.,
220,1,customer service was bad. bad experience.,
221,3,neither good nor bad. love this product.,
222,3,average product. wonderful experience.,
223,4,amazing features. easy to use.,
224,5,highly recommend. very satisfied. works as expected.,
225,1,bad experience. waste of money.,
226,5,amazing features. great value.,
227,1,poor quality. bad experience. it's okay.,
228,1,one star. broke easily.,
229,1,awful. broke easily.,
230,4,fantastic. five stars.,
231,4,easy to use. love this product.,
232,4,amazing features. five stars. met expectations.,
233,5,fantastic. exceeded expectations.,
234,1,poor quality. customer service was bad.,
235,3,some pros and cons. very satisfied.,
236,3,some pros and cons. very disappointed.,
237,4,fantastic. excellent quality.,
238,2,would not recommend. worst purchase.,
239,2,poor quality. poor quality. it's okay.,
240,3,met expectations. missing features.,
241,1,awful. poor quality.,
242,4,highly recommend. highly recommend.,
243,2,worst purchase. customer service was bad. met expectations.,
244,4,wonderful experience. works perfectly. neither good nor bad.,
245,4,great value. easy to use. average product.,
246,2,awful. missing features.,
247,4,wonderful experience. very satisfied. it's okay.,
248,4,best purchase ever. wonderful experience.,
249,5,highly recommend. five stars. it's okay.,
250,3,decent for the price. highly recommend.,
251,2,worst purchase. does not work.,
252,5,excellent quality. fantastic.,
253,1,would not recommend. customer service was bad. average product.,
254,5,very satisfied. five stars.,
255,1,broke easily. missing features.,
256,2,awful. one star. neither good nor bad.,
257,3,some pros and cons. highly recommend.,
258,3,met expectations. amazing features.,
259,3,decent for the price. awful.,
260,4,exceeded expectations. wonderful experience. average product.,
261,1,bad experience. terrible product. met expectations.,
262,5,love this product. works perfectly. nothing special.,
263,5,exceeded expectations. excellent quality.,
264,5,fantastic. exceeded expectations.,
265,4,wonderful experience. highly recommend.,
266,2,terrible product. difficult to use.,
267,5,easy to use. best purchase ever.,
268,2,awful. awful.,
269,3,works as expected. customer service was bad.,
270,5,excellent quality. excellent quality.,
271,1,bad experience. missing features. some pros and cons.,
272,3,met expectations. very satisfied.,
273,3,some pros and cons. wonderful experience.,
274,3,some pros and cons. love this product.,
275,4,great value. works perfectly.,
276,1,does not work. one star. works as expected.,
277,2,waste of money. worst purchase.,
278,2,missing features. one star. decent for the price.,
279,4,easy to use. very satisfied.,
280,4,easy to use. exceeded expectations. decent for the price.,
281,4,works perfectly. highly recommend.,
282,3,nothing special. bad experience.,
283,4,best purchase ever. highly recommend.,
284,2,worst purchase. missing features.,
285,4,easy to use. fantastic.,
286,5,highly recommend. highly recommend. met expectations.,
287,1,broke easily. bad experience.,
288,5,amazing features. best purchase ever. some pros and cons.,
289,5,love this product. best purchase ever. nothing special.,
290,2,difficult to use. worst purchase.,
291,3,average product. love this product.,
292,3,neither good nor bad. very disappointed.,
293,5,exceeded expectations. best purchase ever. some pros and cons.,
294,1,waste of money. poor quality.,
295,5,five stars. works perfectly.,
296,2,would not recommend. does not work.,
297,1,difficult to use. would not recommend.,
298,4,five stars. exceeded expectations.,
299,2,worst purchase. does not work. average product.,
300,4,easy to use. highly recommend. nothing special.,
301,5,amazing features. easy to use.,
302,1,one star. awful.,
303,5,five stars. love this product.,
304,5,excellent quality. fantastic.,
305,1,very disappointed. would not recommend.,
306,4,wonderful experience. excellent quality.,
307,2,broke easily. does not work.,
308,2,very disappointed. does not work.,
309,4,love this product. best purchase ever.,
310,5,best purchase ever. very satisfied. neither good nor bad.,
311,4,works perfectly. excellent quality. works as expected.,
312,2,missing features. poor quality. met expectations.,
313,1,very disappointed. customer service was bad. works as expected.,
314,3,decent for the price. great value.,
315,2,would not recommend. bad experience.,
316,4,excellent quality. wonderful experience. met expectations.,
317,5,easy to use. works perfectly.,
318,5,excellent quality. exceeded expectations.,
319,1,waste of money. missing features.,
320,3,nothing special. terrible product.,
321,5,highly recommend. highly recommend.,
322,2,bad experience. does not work.,
323,4,easy to use. excellent quality. decent for the price.,
324,5,great value. love this product.,
325,2,poor quality. waste of money.,
326,4,five stars. exceeded expectations.,
327,4,highly recommend. excellent quality.,
328,4,wonderful experience. very satisfied.,
329,2,awful. missing features.,
330,2,terrible product. worst purchase.,
331,4,easy to use. excellent quality.,
332,1,does not work. waste of money.,
333,1,missing features. difficult to use.,
334,5,fantastic. love this product.,
335,5,highly recommend. exceeded expectations.,
336,3,decent for the price. very disappointed.,
337,2,awful. awful.,
338,2,would not recommend. customer service was bad. some pros and cons.,
339,1,worst purchase. waste of money. could be better.,
340,2,one star. poor quality. it's okay.,
341,2,broke easily. customer service was bad.,
342,1,would not recommend. waste of money.,
343,3,neither good nor bad. one star.,
344,1,customer service was bad. waste of money.,
345,4,exceeded expectations. amazing features.,
346,5,great value. highly recommend.,
347,3,decent for the price. awful.,
348,3,neither good nor bad. missing features.,
349,5,fantastic. love this product.,
350,3,works as expected. best purchase ever.,
351,2,waste of money. customer service was bad.,
352,3,some pros and cons. very disappointed.,
353,2,one star. terrible product. some pros and cons.,
354,2,does not work. difficult to use.,
355,3,nothing special. awful.,
356,3,met expectations. waste of money.,
357,2,bad experience. would not recommend.,
358,4,fantastic. great value.,
359,4,excellent quality. works perfectly. works as expected.,
360,1,bad experience. one star.,
361,5,wonderful experience. highly recommend. it's okay.,
362,1,terrible product. broke easily.,
363,3,it's okay. would not recommend.,
364,3,decent for the price. wonderful experience.,
365,2,terrible product. customer service was bad.,
366,5,works perfectly. best purchase ever.,
367,5,great value. best purchase ever.,
368,4,easy to use. easy to use.,
369,1,customer service was bad. one star. some pros and cons.,
370,4,fantastic. five stars. met expectations.,
371,4,fantastic. best purchase ever. met expectations.,
372,2,one star. missing features.,
